expiry_indicator,impl_volatility,impl_volatility,impl_volatility,impl_volatility,impl_volatility,volume,volume,volume,volume,volume,open_interest,open_interest,open_interest,open_interest,open_interest,delta,delta,delta,delta,delta,gamma,gamma,gamma,gamma,gamma,vega,vega,vega,vega,vega,theta,theta,theta,theta,theta,bid_ask_spread,bid_ask_spread,bid_ask_spread,bid_ask_spread,bid_ask_spread,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,time_to_expiry,time_to_expiry,time_to_expiry,time_to_expiry,time_to_expiry
,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std,mean,median,min,max,std
m,0.23997290625486284,0.215601,0.047522,8.492107,0.13002921212031834,188.70260932717747,10.0,1,121987,1714.0861177558222,1211.1326382044233,200.0,0,64091,3473.8184056287414,0.002512861569692597,-0.019214,-0.999891,0.999952,0.3851042040280817,0.0008137147363804836,0.000631,0.0,0.016434,0.0008465686071731597,426.79632964039666,373.78385000000003,0.047012,1752.534,341.0036451704978,-246.89049919582254,-197.06545,-6053.424,280.2347,244.4039802602371,1.0747073368954367,0.5,0.04999999999999982,72.0,2.195689533157791,8.760376425150946,1.5448603683897766,0.02652344009017065,200.0,29.122775823877113,79.45984679497155,60.0,0,375,69.29207088567468
regular,0.24742987591663004,0.215858,0.034829,8.991641,0.16307560993433215,338.9602885060188,18.0,1,128031,2344.522547098671,2768.9937297109486,359.0,0,178357,7693.634800529735,0.009896880168826063,-0.015742,-0.999911,0.999997,0.3929824743893141,0.0009795276224504174,0.00063,0.0,0.01995,0.0011662892543113348,430.1452797297932,316.0018,0.005955,3782.842,421.14331808961083,-304.36869352484234,-209.28379999999999,-9563.833,439.8528,383.46181120265226,1.3801073362785916,0.4000000000000057,0.0,3717.6,6.060762992052124,10.840050230515931,1.6313213703099512,0.0,200.0,33.59527861490646,98.72816458700733,50.0,0,2005,156.37571402648527
w,0.23848008131581575,0.209168,0.032648,8.959095,0.16508136709762997,532.186591108628,23.0,1,135766,3431.836605732961,544.5379803300787,103.0,0,47493,1569.210725606977,0.007235855802539308,-0.01037,-0.999987,0.999976,0.4276888430052353,0.0015784048278325257,0.001364,0.0,0.019869,0.0014371365430425975,203.70293206959667,183.11155,0.021615,739.1151,161.78748785244252,-492.406389253226,-387.92470000000003,-8091.741,249.1118,514.2091703298437,1.0245673592820213,0.3999999999999915,0.0,32.600000000000136,2.3500518424004424,16.83641834046541,2.2146507666098882,0.0,200.0,44.529974142666056,17.172854089623186,14.0,0,79,13.6551626360062
