index,impl_volatility,volume,open_interest,delta,gamma,vega,theta,bid_ask_spread,bid_ask_spread_pct,time_to_expiry
mean,0.2435717677875895,374.49651876859036,1844.0894702516405,0.007917095684060897,0.0011305586418521726,362.3953233262306,-350.9172203765913,1.2234285083335776,12.348132180005392,70.75632790855907
median,0.213864,18.0,223.0,-0.01442,0.000768,268.44100000000003,-243.57985000000002,0.40000000000000036,1.7743979721165921,30.0
min,0.032648,1.0,0.0,-0.999987,0.0,0.005955,-9563.833,0.0,0.0,0.0
max,8.991641,135766.0,178357.0,0.999997,0.01995,3782.842,439.8528,3717.6,200.0,2005.0
std,0.15888955021905118,2651.488886569872,5956.784581116555,0.4023779592524443,0.0012465471448016984,365.06980692903784,420.3197964895483,4.712465985024212,36.81534761478144,123.51967525464053
