cp_flag,time_to_expiry,time_to_expiry,time_to_expiry,time_to_expiry,time_to_expiry,time_to_expiry,moneyness,moneyness,moneyness,moneyness,moneyness,moneyness,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,bid_ask_spread_pct,impl_volatility,impl_volatility,impl_volatility,impl_volatility,impl_volatility,impl_volatility,delta,delta,delta,delta,delta,delta,gamma,gamma,gamma,gamma,gamma,gamma,vega,vega,vega,vega,vega,vega,theta,theta,theta,theta,theta,theta
,mean,median,min,max,std,size,mean,median,min,max,std,size,mean,median,min,max,std,size,mean,median,min,max,std,size,mean,median,min,max,std,size,mean,median,min,max,std,size,mean,median,min,max,std,size,mean,median,min,max,std,size
C,77.32810215526396,32.0,1,2002,135.22960814840982,644979,4235.421300538467,4190.0,100.0,12000.0,462.82130870998407,644979,6.368024148159751,1.5873015873015817,0.0,184.0,15.528479414034303,644979,0.1864883319394895,0.177066,0.032648,8.916361,0.08836227237106692,644979,0.37713402175884797,0.35138,0.00035,0.995979,0.28709017928712155,644979,0.001415540980404013,0.001063,0.0,0.01995,0.0013304137313574092,644979,413.0344657881869,313.2174,0.123417,3782.842,387.0652658997714,644979,-435.16724224761265,-334.6419,-8681.899,110.5163,470.406354933242,644979
P,74.5088026819537,34.0,1,2003,121.5972879358212,991516,3704.387488452027,3800.0,200.0,12000.0,596.8413990884699,991516,6.286718733892553,1.8018018018017956,0.0,187.87878787878788,13.754538439105783,991516,0.2697964746176562,0.242473,0.042974,4.803859,0.12666099037781417,991516,-0.23488451890539336,-0.149149,-0.995985,-0.000118,0.2444749554248159,991516,0.0009733357868153413,0.000586,0.0,0.019896,0.0011854737981302514,991516,339.0288439259468,241.2651,0.254898,3781.969,350.6770872601156,991516,-302.9761234770634,-199.59485,-9563.833,430.3924,378.3369012145217,991516
