index,time_to_expiry,moneyness,bid_ask_spread_pct,impl_volatility,delta,gamma,vega,theta
mean,75.6199511761417,3913.679699601893,6.318763002154079,0.23696288664065576,0.006325571158482001,0.0011476186679458228,368.19610198850467,-355.07557724472537
median,32.0,3975.0,1.7167381974248865,0.213172,-0.017077,0.000775,271.0795,-245.4433
min,1.0,100.0,0.0,0.032648,-0.995985,0.0,0.123417,-9563.833
max,2003.0,12000.0,187.87878787878788,8.916361,0.995979,0.01995,3782.842,430.3924
std,127.15214370061831,606.2885856390673,14.47970921441337,0.12022736694152643,0.3976665835321655,0.001263233590645353,367.2361601155471,422.03015156677793
size,1636495.0,1636495.0,1636495.0,1636495.0,1636495.0,1636495.0,1636495.0,1636495.0
